"subject_id","X0__0","X1__0","X2__0","X3__0","X4__0","X0__1","X1__1","X2__1","X3__1","X4__1"
"0","4.0","3.0","0.0","1.0","6.0","2.0","3.0","6.0","2.0","1.0"
"1","4.0","4.0","6.0","0.0","1.0","5.0","7.0","5.0","0.0","6.0"
"2","5.0","7.0","1.0","2.0","4.0","1.0","5.0","4.0","1.0","0.0"
"3","2.0","3.0","7.0","7.0","4.0","3.0","2.0","0.0","6.0","5.0"
"4","2.0","7.0","0.0","0.0","0.0","4.0","2.0","3.0","7.0","1.0"
"5","1.0","4.0","3.0","4.0","5.0","7.0","7.0","5.0","3.0","5.0"
"6","6.0","4.0","7.0","3.0","0.0","4.0","7.0","4.0","4.0","1.0"
"7","2.0","1.0","3.0","5.0","2.0","0.0","3.0","7.0","0.0","2.0"
"8","2.0","3.0","2.0","7.0","4.0","3.0","6.0","5.0","2.0","4.0"
"9","5.0","1.0","7.0","0.0","4.0","1.0","5.0","2.0","1.0","1.0"
"10","0.0","2.0","2.0","1.0","7.0","4.0","5.0","6.0","2.0","6.0"
"11","5.0","5.0","2.0","5.0","7.0","0.0","7.0","2.0","6.0","3.0"
"12","7.0","1.0","3.0","2.0","0.0","5.0","4.0","4.0","4.0","0.0"
"13","2.0","0.0","2.0","7.0","2.0","5.0","4.0","3.0","1.0","3.0"
"14","2.0","5.0","7.0","7.0","2.0","3.0","1.0","6.0","4.0","5.0"
"15","4.0","7.0","4.0","3.0","0.0","5.0","2.0","1.0","5.0","7.0"
"16","6.0","5.0","7.0","4.0","4.0","4.0","2.0","0.0","0.0","2.0"
"17","5.0","7.0","5.0","3.0","7.0","0.0","0.0","2.0","0.0","1.0"
"18","4.0","7.0","5.0","5.0","7.0","2.0","3.0","4.0","7.0","3.0"
"19","5.0","6.0","6.0","5.0","4.0","6.0","2.0","6.0","1.0","4.0"
"20","6.0","4.0","0.0","1.0","5.0","0.0","0.0","0.0","3.0","4.0"
"21","2.0","2.0","6.0","3.0","5.0","4.0","1.0","7.0","2.0","4.0"
"22","6.0","4.0","6.0","3.0","0.0","1.0","7.0","1.0","7.0","0.0"
"23","4.0","2.0","2.0","2.0","7.0","3.0","5.0","3.0","7.0","3.0"
"24","6.0","1.0","5.0","4.0","5.0","1.0","0.0","6.0","5.0","3.0"
"25","2.0","5.0","1.0","7.0","5.0","7.0","4.0","4.0","1.0","3.0"
"26","2.0","5.0","6.0","3.0","2.0","6.0","6.0","2.0","6.0","1.0"
"27","4.0","3.0","3.0","3.0","7.0","0.0","3.0","0.0","0.0","2.0"
"28","6.0","3.0","7.0","3.0","3.0","5.0","3.0","1.0","6.0","0.0"
"29","5.0","3.0","3.0","2.0","6.0","5.0","2.0","2.0","3.0","0.0"
"30","5.0","5.0","3.0","2.0","2.0","5.0","7.0","1.0","0.0","4.0"
"31","2.0","2.0","3.0","2.0","5.0","7.0","0.0","2.0","6.0","5.0"
"32","5.0","4.0","3.0","3.0","3.0","4.0","7.0","3.0","0.0","6.0"
"33","2.0","7.0","7.0","3.0","2.0","3.0","4.0","3.0","4.0","1.0"
"34","4.0","3.0","4.0","3.0","0.0","4.0","7.0","1.0","6.0","0.0"
"35","5.0","0.0","1.0","0.0","1.0","5.0","6.0","3.0","5.0","7.0"
"36","2.0","5.0","1.0","2.0","2.0","6.0","6.0","2.0","1.0","3.0"
"37","2.0","5.0","2.0","2.0","2.0","1.0","7.0","6.0","2.0","5.0"
"38","5.0","7.0","4.0","3.0","7.0","2.0","1.0","1.0","6.0","7.0"
"39","1.0","6.0","5.0","1.0","4.0","1.0","7.0","7.0","3.0","3.0"
"40","2.0","6.0","4.0","4.0","2.0","2.0","7.0","6.0","5.0","1.0"
"41","5.0","1.0","2.0","0.0","7.0","6.0","2.0","4.0","7.0","7.0"
"42","2.0","5.0","4.0","1.0","2.0","7.0","7.0","5.0","0.0","2.0"
"43","2.0","5.0","0.0","1.0","2.0","0.0","7.0","6.0","1.0","1.0"
"44","4.0","3.0","3.0","3.0","1.0","0.0","5.0","2.0","7.0","7.0"
"45","1.0","2.0","1.0","1.0","5.0","3.0","7.0","4.0","4.0","7.0"
"46","2.0","7.0","6.0","3.0","3.0","1.0","1.0","2.0","7.0","1.0"
"47","4.0","6.0","4.0","6.0","3.0","5.0","7.0","3.0","0.0","1.0"
"48","5.0","2.0","5.0","7.0","1.0","2.0","1.0","7.0","4.0","7.0"
"49","5.0","4.0","0.0","0.0","0.0","4.0","0.0","4.0","3.0","7.0"
"50","2.0","7.0","1.0","0.0","2.0","7.0","5.0","4.0","0.0","7.0"
"51","2.0","3.0","4.0","1.0","2.0","3.0","6.0","0.0","4.0","2.0"
"52","7.0","6.0","4.0","5.0","5.0","6.0","4.0","6.0","4.0","2.0"
"53","2.0","5.0","1.0","7.0","2.0","0.0","6.0","0.0","7.0","5.0"
"54","5.0","7.0","7.0","3.0","0.0","1.0","5.0","5.0","3.0","6.0"
"55","2.0","0.0","0.0","2.0","5.0","0.0","4.0","0.0","3.0","3.0"
"56","6.0","4.0","1.0","3.0","0.0","2.0","7.0","3.0","4.0","7.0"
"57","6.0","4.0","5.0","3.0","0.0","3.0","7.0","1.0","3.0","5.0"
"58","4.0","5.0","3.0","3.0","6.0","6.0","7.0","1.0","1.0","7.0"
"59","5.0","4.0","7.0","3.0","2.0","0.0","5.0","1.0","1.0","0.0"
"60","6.0","1.0","0.0","0.0","1.0","5.0","6.0","3.0","3.0","2.0"
"61","2.0","3.0","6.0","1.0","2.0","2.0","5.0","3.0","5.0","4.0"
"62","7.0","5.0","3.0","2.0","2.0","3.0","7.0","6.0","0.0","5.0"
"63","2.0","1.0","1.0","5.0","4.0","4.0","5.0","2.0","6.0","7.0"
"64","4.0","5.0","6.0","5.0","2.0","1.0","0.0","4.0","1.0","0.0"
"65","4.0","1.0","1.0","0.0","3.0","5.0","6.0","7.0","2.0","2.0"
"66","2.0","5.0","3.0","5.0","2.0","4.0","5.0","7.0","0.0","2.0"
"67","2.0","7.0","1.0","7.0","1.0","1.0","1.0","6.0","0.0","4.0"
"68","6.0","2.0","0.0","1.0","1.0","5.0","7.0","0.0","2.0","3.0"
"69","2.0","5.0","5.0","4.0","2.0","2.0","2.0","2.0","2.0","5.0"
"70","2.0","5.0","5.0","4.0","2.0","0.0","0.0","7.0","3.0","0.0"
"71","4.0","4.0","3.0","0.0","0.0","7.0","7.0","7.0","4.0","6.0"
"72","6.0","3.0","6.0","6.0","0.0","4.0","7.0","4.0","6.0","2.0"
"73","6.0","1.0","0.0","1.0","0.0","3.0","5.0","7.0","1.0","6.0"
"74","7.0","1.0","1.0","0.0","7.0","6.0","0.0","1.0","5.0","4.0"
"75","4.0","3.0","6.0","3.0","6.0","4.0","6.0","1.0","4.0","2.0"
"76","2.0","7.0","4.0","3.0","7.0","7.0","4.0","3.0","7.0","4.0"
"77","2.0","6.0","3.0","5.0","4.0","7.0","4.0","1.0","2.0","0.0"
"78","4.0","5.0","3.0","5.0","2.0","1.0","6.0","2.0","7.0","7.0"
"79","2.0","7.0","1.0","3.0","4.0","2.0","6.0","4.0","0.0","4.0"
"80","5.0","5.0","0.0","7.0","7.0","6.0","0.0","3.0","3.0","5.0"
"81","2.0","4.0","4.0","2.0","5.0","1.0","7.0","4.0","6.0","0.0"
"82","2.0","1.0","0.0","2.0","2.0","7.0","6.0","0.0","5.0","4.0"
"83","5.0","2.0","0.0","1.0","4.0","4.0","5.0","5.0","7.0","4.0"
"84","2.0","6.0","1.0","1.0","5.0","2.0","4.0","6.0","3.0","6.0"
"85","2.0","5.0","6.0","7.0","2.0","4.0","0.0","3.0","7.0","3.0"
"86","5.0","5.0","3.0","4.0","7.0","7.0","7.0","0.0","5.0","1.0"
"87","6.0","3.0","1.0","3.0","3.0","3.0","6.0","0.0","3.0","2.0"
"88","3.0","0.0","1.0","0.0","4.0","3.0","1.0","7.0","7.0","5.0"
"89","5.0","5.0","2.0","2.0","7.0","3.0","7.0","6.0","6.0","1.0"
"90","5.0","7.0","7.0","3.0","7.0","6.0","3.0","6.0","6.0","1.0"
"91","6.0","7.0","5.0","4.0","1.0","3.0","7.0","3.0","3.0","4.0"
"92","4.0","4.0","7.0","3.0","3.0","4.0","6.0","7.0","1.0","4.0"
"93","2.0","2.0","6.0","3.0","2.0","5.0","4.0","2.0","3.0","3.0"
"94","5.0","6.0","0.0","0.0","7.0","7.0","7.0","6.0","3.0","6.0"
"95","6.0","3.0","1.0","1.0","0.0","0.0","1.0","5.0","6.0","2.0"
